Position,Name,ELO,Date,Age
1,Carlsen,2862,2021,30
2,Caruana,2823,2021,28
3,Ding Liren,2791,2021,28
4,Nepomniachtchi,2789,2021,30
5,Vachier-Lagrave,2784,2021,30
6,Aronian,2781,2021,38
7,Grischuk,2777,2021,37
8,Mamedyarov,2770,2021,35
9,So,2770,2021,27
10,Radjabov,2765,2021,33
11,Giri,2764,2021,26
12,Wang Hao,2763,2021,31
13,Rapport,2759,2021,24
14,Dominguez Perez,2758,2021,37
15,Karjakin,2757,2021,30
16,Anand,2753,2021,51
17,Kramnik,2753,2021,45
18,Firouzja,2749,2021,17
19,Duda,2743,2021,22
20,Nakamura,2736,2021,33
1,Carlsen,2872,2020,29
2,Caruana,2822,2020,27
3,Ding Liren,2805,2020,27
4,Grischuk,2777,2020,36
5,Nepomniachtchi,2774,2020,29
6,Aronian,2773,2020,37
7,Vachier-Lagrave,2770,2020,29
8,Mamedyarov,2770,2020,34
9,Giri,2768,2020,25
10,So,2765,2020,26
11,Radjabov,2765,2020,32
12,Wang Hao,2758,2020,30
13,Anand,2758,2020,50
14,Rapport,2758,2020,23
15,Dominguez Perez,2758,2020,36
16,Duda,2758,2020,21
17,Kramnik,2753,2020,44
18,Karjakin,2752,2020,29
19,Vitiugov,2747,2020,32
20,Topalov,2738,2020,44
1,Carlsen,2835,2019,28
2,Caruana,2828,2019,26
3,Mamedyarov,2817,2019,33
4,Ding Liren,2813,2019,26
5,Giri,2783,2019,24
6,Vachier-Lagrave,2780,2019,28
7,Kramnik,2777,2019,43
8,Anand,2773,2019,49
9,Grischuk,2771,2019,35
10,Aronian,2767,2019,36
11,So,2765,2019,25
12,Yu Yangyi,2764,2019,24
13,Nepomniachtchi,2763,2019,28
14,Radjabov,2757,2019,31
15,Karjakin,2753,2019,28
16,Nakamura,2749,2019,31
17,Topalov,2740,2019,43
18,Navara,2738,2019,33
19,Duda,2738,2019,20
20,Svidler,2737,2019,42
1,Carlsen,2834,2018,27
2,Caruana,2811,2018,25
3,Mamedyarov,2804,2018,32
4,Aronian,2797,2018,35
5,Vachier-Lagrave,2793,2018,27
6,So,2792,2018,24
7,Kramnik,2787,2018,42
8,Nakamura,2781,2018,30
9,Ding Liren,2769,2018,25
10,Svidler,2768,2018,41
11,Anand,2767,2018,48
12,Grischuk,2767,2018,34
13,Yu Yangyi,2760,2018,23
14,Karjakin,2753,2018,27
15,Giri,2752,2018,23
16,Nepomniachtchi,2751,2018,27
17,Navara,2749,2018,32
18,Topalov,2749,2018,42
19,Radjabov,2748,2018,30
20,Harikrishna,2745,2018,31
1,Carlsen,2840,2017,26
2,Caruana,2827,2017,24
3,Kramnik,2811,2017,41
4,So,2808,2017,23
5,Vachier-Lagrave,2796,2017,26
6,Anand,2786,2017,47
7,Nakamura,2785,2017,29
8,Karjakin,2785,2017,26
9,Aronian,2780,2017,34
10,Giri,2773,2017,22
11,Nepomniachtchi,2767,2017,26
12,Harikrishna,2766,2017,30
13,Mamedyarov,2766,2017,31
14,Ding Liren,2760,2017,24
15,Eljanov,2755,2017,33
16,Ivanchuk,2752,2017,47
17,Adams,2751,2017,45
18,Wojtaszek,2750,2017,29
19,Svidler,2748,2017,40
20,Grischuk,2742,2017,33
1,Carlsen,2844,2016,25
2,Kramnik,2801,2016,40
3,Giri,2798,2016,21
4,Aronian,2792,2016,33
5,Caruana,2787,2016,23
6,Nakamura,2787,2016,28
7,Vachier-Lagrave,2785,2016,25
8,Anand,2784,2016,46
9,Topalov,2780,2016,40
10,So,2773,2016,22
11,Karjakin,2769,2016,25
12,Ding Liren,2766,2016,23
13,Eljanov,2760,2016,32
14,Harikrishna,2755,2016,29
15,Grischuk,2752,2016,32
16,Li Chao,2751,2016,26
17,Svidler,2751,2016,39
18,Yu Yangyi,2747,2016,21
19,Mamedyarov,2747,2016,30
20,Adams,2744,2016,44
1,Carlsen,2862,2015,24
2,Caruana,2820,2015,22
3,Grischuk,2810,2015,31
4,Topalov,2800,2015,39
5,Anand,2797,2015,45
6,Aronian,2797,2015,32
7,Giri,2784,2015,20
8,Kramnik,2783,2015,39
9,Nakamura,2776,2015,27
10,So,2762,2015,21
11,Karjakin,2760,2015,24
12,Mamedyarov,2759,2015,29
13,Vachier-Lagrave,2757,2015,24
14,Gelfand,2747,2015,46
15,Wojtaszek,2744,2015,27
16,Svidler,2739,2015,38
17,Adams,2738,2015,43
18,Andreikin,2737,2015,24
19,Vitiugov,2735,2015,27
20,Radjabov,2734,2015,27
1,Carlsen,2872,2014,23
2,Aronian,2812,2014,31
3,Nakamura,2789,2014,26
4,Kramnik,2787,2014,38
5,Topalov,2785,2014,38
6,Caruana,2782,2014,21
7,Grischuk,2777,2014,30
8,Gelfand,2777,2014,45
9,Anand,2773,2014,44
10,Karjakin,2762,2014,24
11,Mamedyarov,2757,2014,29
12,Giri,2757,2014,19
13,So,2753,2014,20
14,Vachier-Lagrave,2753,2014,24
15,Harikrishna,2745,2014,28
16,Ding Liren,2744,2014,21
17,Adams,2743,2014,42
18,Navara,2743,2014,30
19,Eljanov,2741,2014,31
20,Radjabov,2737,2014,28
1,Carlsen,2882,2013,22
2,Aronian,2797,2013,30
3,Kramnik,2789,2013,37
4,Caruana,2787,2013,20
5,Nakamura,2786,2013,25
6,Topalov,2784,2013,38
7,Grischuk,2776,2013,29
8,Gelfand,2776,2013,44
9,Anand,2774,2013,43
10,Mamedyarov,2767,2013,28
11,So,2767,2013,19
12,Harikrishna,2765,2013,27
13,Karjakin,2758,2013,23
14,Vachier-Lagrave,2758,2013,23
15,Giri,2754,2013,19
16,Ding Liren,2749,2013,20
17,Navara,2745,2013,29
18,Svidler,2742,2013,36
19,Eljanov,2740,2013,30
20,Adams,2739,2013,41
1,Carlsen,2861,2012,21
2,Aronian,2786,2012,29
3,Kramnik,2782,2012,36
4,Caruana,2775,2012,19
5,Nakamura,2775,2012,24
6,Topalov,2773,2012,37
7,Grischuk,2771,2012,28
8,Anand,2767,2012,42
9,Gelfand,2767,2012,43
10,Mamedyarov,2760,2012,27
11,So,2756,2012,18
12,Harikrishna,2755,2012,26
13,Karjakin,2753,2012,22
14,Vachier-Lagrave,2752,2012,22
15,Ding Liren,2749,2012,19
16,Giri,2748,2012,18
17,Navara,2744,2012,28
18,Svidler,2741,2012,35
19,Eljanov,2741,2012,29
20,Adams,2739,2012,40
1,Carlsen,2848,2011,20
2,Aronian,2782,2011,28
3,Kramnik,2780,2011,35
4,Nakamura,2768,2011,23
5,Caruana,2767,2011,18
6,Topalov,2763,2011,36
7,Grischuk,2758,2011,27
8,Anand,2756,2011,41
9,Gelfand,2754,2011,42
10,Mamedyarov,2749,2011,26
11,Harikrishna,2747,2011,25
12,So,2747,2011,17
13,Karjakin,2746,2011,21
14,Ding Liren,2744,2011,18
15,Vachier-Lagrave,2742,2011,21
16,Giri,2741,2011,17
17,Navara,2739,2011,27
18,Svidler,2736,2011,34
19,Eljanov,2736,2011,28
20,Adams,2733,2011,39
1,Carlsen,2826,2010,19
2,Kramnik,2788,2010,34
3,Aronian,2782,2010,27
4,Nakamura,2764,2010,22
5,Topalov,2759,2010,35
6,Caruana,2757,2010,17
7,Grischuk,2754,2010,26
8,Anand,2752,2010,40
9,Gelfand,2751,2010,41
10,Mamedyarov,2749,2010,25
11,Harikrishna,2747,2010,24
12,So,2744,2010,16
13,Karjakin,2743,2010,20
14,Ding Liren,2738,2010,17
15,Vachier-Lagrave,2738,2010,20
16,Giri,2737,2010,16
17,Navara,2734,2010,26
18,Svidler,2734,2010,33
19,Eljanov,2731,2010,27
20,Adams,2729,2010,38
1,Carlsen,2801,2009,18
2,Kramnik,2782,2009,33
3,Aronian,2779,2009,26
4,Nakamura,2761,2009,21
5,Topalov,2759,2009,34
6,Caruana,2757,2009,16
7,Grischuk,2749,2009,25
8,Anand,2745,2009,39
9,Gelfand,2742,2009,40
10,Mamedyarov,2739,2009,24
11,Harikrishna,2737,2009,23
12,So,2736,2009,15
13,Karjakin,2734,2009,19
14,Ding Liren,2728,2009,16
15,Vachier-Lagrave,2728,2009,19
16,Giri,2727,2009,15
17,Navara,2725,2009,25
18,Svidler,2724,2009,32
19,Eljanov,2723,2009,26
20,Adams,2721,2009,37
1,Carlsen,2788,2008,17
2,Kramnik,2770,2008,32
3,Aronian,2758,2008,25
4,Nakamura,2741,2008,20
5,Topalov,2739,2008,33
6,Caruana,2738,2008,15
7,Grischuk,2736,2008,24
8,Anand,2733,2008,38
9,Gelfand,2732,2008,39
10,Mamedyarov,2728,2008,23
11,Harikrishna,2725,2008,22
12,So,2723,2008,14
13,Karjakin,2722,2008,18
14,Ding Liren,2718,2008,15
15,Vachier-Lagrave,2717,2008,18
16,Giri,2716,2008,14
17,Navara,2714,2008,24
18,Svidler,2712,2008,31
19,Eljanov,2711,2008,25
20,Adams,2708,2008,36
1,Carlsen,2770,2007,16
2,Kramnik,2766,2007,31
3,Aronian,2748,2007,24
4,Nakamura,2733,2007,19
5,Topalov,2727,2007,32
6,Caruana,2726,2007,14
7,Grischuk,2723,2007,23
8,Anand,2722,2007,37
9,Gelfand,2720,2007,38
10,Mamedyarov,2719,2007,22
11,Harikrishna,2717,2007,21
12,So,2715,2007,13
13,Karjakin,2713,2007,17
14,Ding Liren,2709,2007,14
15,Vachier-Lagrave,2708,2007,17
16,Giri,2707,2007,13
17,Navara,2705,2007,23
18,Svidler,2702,2007,30
19,Eljanov,2701,2007,24
20,Adams,2698,2007,35
1,Carlsen,2736,2006,15
2,Kramnik,2729,2006,30
3,Aronian,2723,2006,23
4,Nakamura,2708,2006,18
5,Topalov,2705,2006,31
6,Caruana,2704,2006,13
7,Grischuk,2701,2006,22
8,Anand,2699,2006,36
9,Gelfand,2698,2006,37
10,Mamedyarov,2694,2006,21
11,Harikrishna,2692,2006,20
12,So,2689,2006,12
13,Karjakin,2687,2006,16
14,Ding Liren,2683,2006,13
15,Vachier-Lagrave,2682,2006,16
16,Giri,2681,2006,12
17,Navara,2680,2006,22
18,Svidler,2679,2006,29
19,Eljanov,2677,2006,23
20,Adams,2675,2006,34
1,Carlsen,2690,2005,14
2,Kramnik,2680,2005,29
3,Aronian,2674,2005,22
4,Nakamura,2660,2005,17
5,Topalov,2657,2005,30
6,Caruana,2656,2005,12
7,Grischuk,2654,2005,21
8,Anand,2650,2005,35
9,Gelfand,2648,2005,36
10,Mamedyarov,2645,2005,20
11,Harikrishna,2642,2005,19
12,So,2639,2005,11
13,Karjakin,2636,2005,15
14,Ding Liren,2631,2005,12
15,Vachier-Lagrave,2629,2005,15
16,Giri,2628,2005,11
17,Navara,2626,2005,21
18,Svidler,2625,2005,28
19,Eljanov,2623,2005,22
20,Adams,2621,2005,33
1,Carlsen,2710,2004,13
2,Kramnik,2702,2004,28
3,Aronian,2695,2004,21
4,Nakamura,2682,2004,16
5,Topalov,2679,2004,29
6,Caruana,2678,2004,11
7,Grischuk,2675,2004,20
8,Anand,2672,2004,34
9,Gelfand,2668,2004,35
10,Mamedyarov,2665,2004,19
11,Harikrishna,2663,2004,18
12,So,2661,2004,10
13,Karjakin,2658,2004,14
14,Ding Liren,2653,2004,11
15,Vachier-Lagrave,2650,2004,14
16,Giri,2649,2004,10
17,Navara,2647,2004,20
18,Svidler,2645,2004,27
19,Eljanov,2643,2004,21
20,Adams,2640,2004,32
1,Carlsen,2680,2003,12
2,Kramnik,2670,2003,27
3,Aronian,2665,2003,20
4,Nakamura,2655,2003,15
5,Topalov,2651,2003,28
6,Caruana,2650,2003,10
7,Grischuk,2648,2003,19
8,Anand,2645,2003,33
9,Gelfand,2642,2003,34
10,Mamedyarov,2638,2003,18
11,Harikrishna,2636,2003,17
12,So,2634,2003,9
13,Karjakin,2630,2003,13
14,Ding Liren,2626,2003,10
15,Vachier-Lagrave,2623,2003,13
16,Giri,2622,2003,9
17,Navara,2620,2003,19
18,Svidler,2618,2003,26
19,Eljanov,2616,2003,20
20,Adams,2613,2003,31
1,Carlsen,2650,2002,11
2,Kramnik,2638,2002,26
3,Aronian,2635,2002,19
4,Nakamura,2628,2002,14
5,Topalov,2623,2002,27
6,Caruana,2620,2002,9
7,Grischuk,2618,2002,18
8,Anand,2615,2002,32
9,Gelfand,2613,2002,33
10,Mamedyarov,2610,2002,17
11,Harikrishna,2608,2002,16
12,So,2605,2002,8
13,Karjakin,2602,2002,12
14,Ding Liren,2598,2002,9
15,Vachier-Lagrave,2595,2002,12
16,Giri,2594,2002,8
17,Navara,2590,2002,18
18,Svidler,2588,2002,25
19,Eljanov,2586,2002,19
20,Adams,2583,2002,30
1,Carlsen,2620,2001,10
2,Kramnik,2608,2001,25
3,Aronian,2605,2001,18
4,Nakamura,2597,2001,13
5,Topalov,2593,2001,26
6,Caruana,2590,2001,8
7,Grischuk,2588,2001,17
8,Anand,2585,2001,31
9,Gelfand,2583,2001,32
10,Mamedyarov,2580,2001,16
11,Harikrishna,2578,2001,15
12,So,2575,2001,7
13,Karjakin,2572,2001,11
14,Ding Liren,2568,2001,8
15,Vachier-Lagrave,2565,2001,11
16,Giri,2564,2001,7
17,Navara,2560,2001,17
18,Svidler,2558,2001,24
19,Eljanov,2556,2001,18
20,Adams,2553,2001,29
1,Carlsen,2590,2000,9
2,Kramnik,2578,2000,24
3,Aronian,2575,2000,17
4,Nakamura,2567,2000,12
5,Topalov,2563,2000,25
6,Caruana,2560,2000,7
7,Grischuk,2558,2000,16
8,Anand,2555,2000,30
9,Gelfand,2553,2000,31
10,Mamedyarov,2550,2000,15
11,Harikrishna,2548,2000,14
12,So,2545,2000,6
13,Karjakin,2542,2000,10
14,Ding Liren,2538,2000,7
15,Vachier-Lagrave,2535,2000,10
16,Giri,2534,2000,6
17,Navara,2530,2000,16
18,Svidler,2528,2000,23
19,Eljanov,2526,2000,17
20,Adams,2523,2000,28
1,Carlsen,2555,1999,8
2,Kramnik,2543,1999,23
3,Aronian,2540,1999,16
4,Nakamura,2532,1999,11
5,Topalov,2528,1999,24
6,Caruana,2525,1999,6
7,Grischuk,2523,1999,15
8,Anand,2520,1999,29
9,Gelfand,2518,1999,30
10,Mamedyarov,2515,1999,14
11,Harikrishna,2513,1999,13
12,So,2510,1999,5
13,Karjakin,2507,1999,9
14,Ding Liren,2503,1999,6
15,Vachier-Lagrave,2500,1999,9
16,Giri,2499,1999,5
17,Navara,2495,1999,15
18,Svidler,2493,1999,22
19,Eljanov,2491,1999,16
20,Adams,2488,1999,27
1,Carlsen,2520,1998,7
2,Kramnik,2508,1998,22
3,Aronian,2505,1998,15
4,Nakamura,2497,1998,10
5,Topalov,2493,1998,23
6,Caruana,2490,1998,5
7,Grischuk,2488,1998,14
8,Anand,2485,1998,28
9,Gelfand,2483,1998,29
10,Mamedyarov,2480,1998,13
11,Harikrishna,2478,1998,12
12,So,2475,1998,4
13,Karjakin,2472,1998,8
14,Ding Liren,2468,1998,5
15,Vachier-Lagrave,2465,1998,8
16,Giri,2464,1998,4
17,Navara,2460,1998,14
18,Svidler,2458,1998,21
19,Eljanov,2456,1998,15
20,Adams,2453,1998,26
